대학,연도,카테고리,원래전형,개명후전형,학과,모집,경쟁률,등급50,등급70
국립순천대,2022,교과,교과(일반),교과(일반전형),생물학과,3,3,5.69,6.32
국립순천대,2022,교과,교과(전국인재),교과(일반전형),생물학과,6,2.3333333333333335,,
국립순천대,2022,교과,교과(일반),교과(일반전형),수학교육과,2,5,3.05,3.44
국립순천대,2022,교과,교과(전국인재),교과(일반전형),수학교육과,6,4.666666666666667,2.75,3.11
국립순천대,2022,교과,교과(일반),교과(일반전형),식품공학과,26,2.1923076923076925,4.58,4.89
국립순천대,2022,교과,교과(전국인재),교과(일반전형),식품공학과,3,4,4.49,5.31
국립순천대,2022,교과,교과(일반),교과(일반전형),식품영양학과,6,7.666666666666667,5.64,5.72
국립순천대,2022,교과,교과(전국인재),교과(일반전형),식품영양학과,5,5.4,4.63,4.84
국립순천대,2022,교과,교과(일반),교과(일반전형),신소재공학과,4,3,4.9,5.17
국립순천대,2022,교과,교과(전국인재),교과(일반전형),신소재공학과,5,3.2,,
국립순천대,2022,교과,교과(일반),교과(일반전형),영상디자인학과,4,11.25,3.99,4.71
국립순천대,2022,교과,교과(전국인재),교과(일반전형),영상디자인학과,2,9.5,4.6,4.71
국립순천대,2022,교과,교과(일반),교과(일반전형),영어교육과,3,6,3.18,3.49
국립순천대,2022,교과,교과(전국인재),교과(일반전형),영어교육과,4,7.25,2.83,3.3
국립순천대,2022,교과,교과(일반),교과(일반전형),원예학과,3,7.666666666666667,3.67,4.19
국립순천대,2022,교과,교과(전국인재),교과(일반전형),원예학과,7,4.428571428571429,5.19,5.55
국립순천대,2022,교과,교과(일반),교과(일반전형),융합바이오시스템기계공학과,7,2.142857142857143,5.49,6.2
국립순천대,2022,교과,교과(전국인재),교과(일반전형),융합바이오시스템기계공학과,7,2.4285714285714284,6.06,6.29
국립순천대,2022,교과,교과(일반),교과(일반전형),인공지능공학부,10,3,6.54,8.13
국립순천대,2022,교과,교과(전국인재),교과(일반전형),인공지능공학부,19,2.3157894736842106,5.65,6.08
국립순천대,2022,교과,교과(일반),교과(일반전형),일본어일본문화학과,4,5.5,4.46,5.15
국립순천대,2022,교과,교과(전국인재),교과(일반전형),일본어일본문화학과,9,2.7777777777777777,5.96,6.29
국립순천대,2022,교과,교과(일반),교과(일반전형),자유전공학부,9,5.777777777777778,5.58,5.85
국립순천대,2022,교과,교과(전국인재),교과(일반전형),자유전공학부,13,7.076923076923077,5.31,5.42
국립순천대,2022,교과,교과(일반),교과(일반전형),전기공학과,6,6.333333333333333,4.01,4.2
국립순천대,2022,교과,교과(전국인재),교과(일반전형),전기공학과,8,3.875,4.79,4.9
국립순천대,2022,교과,교과(일반),교과(일반전형),전자공학과,3,3.3333333333333335,5.39,5.55
국립순천대,2022,교과,교과(전국인재),교과(일반전형),전자공학과,5,3,5.02,5.19
국립순천대,2022,교과,교과(일반),교과(일반전형),조리과학과,3,7.666666666666667,6.36,6.39
국립순천대,2022,교과,교과(전국인재),교과(일반전형),조리과학과,12,3,5.23,5.57
국립순천대,2022,교과,교과(일반),교과(일반전형),철학과,5,3,6.22,6.39
국립순천대,2022,교과,교과(전국인재),교과(일반전형),철학과,4,4.5,5.45,5.82
국립순천대,2022,교과,교과(일반),교과(일반전형),첨단신소재공학과,8,2.125,6.29,7.39
국립순천대,2022,교과,교과(전국인재),교과(일반전형),첨단신소재공학과,12,2.25,6.42,6.53
국립순천대,2022,교과,교과(일반),교과(일반전형),컴퓨터공학과,6,8.5,4.16,4.65
국립순천대,2022,교과,교과(전국인재),교과(일반전형),컴퓨터공학과,6,7.166666666666667,4.47,4.55
국립순천대,2022,교과,교과(일반),교과(일반전형),컴퓨터교육과,4,7.25,4.69,4.87
국립순천대,2022,교과,교과(전국인재),교과(일반전형),컴퓨터교육과,3,5.333333333333333,4.02,4.17
국립순천대,2022,교과,교과(일반),교과(일반전형),토목공학과,3,6,4.74,5.35
국립순천대,2022,교과,교과(전국인재),교과(일반전형),토목공학과,6,6,4.41,4.7
국립순천대,2022,교과,교과(일반),교과(일반전형),패션디자인학과,3,6.333333333333333,4.21,4.86
국립순천대,2022,교과,교과(전국인재),교과(일반전형),패션디자인학과,7,6.857142857142857,4.7,5.11
국립순천대,2022,교과,교과(일반),교과(일반전형),화학공학과,12,2.5833333333333335,5.87,5.94
국립순천대,2022,교과,교과(전국인재),교과(일반전형),화학공학과,17,2.3529411764705883,5.64,6.02
